x0000,y0000
1777575135.8489125,-0.0544433594
1777575135.8589125,-0.0544433594
1777575135.8689125,-0.0544433594
1777575135.8789124,-0.0544433594
1777575135.8889124,-0.0544433594
1777575135.8989124,0.3051757812
1777575135.9089124,0.3051757812
1777575135.9189124,0.3051757812
1777575135.9289124,0.3051757812
1777575135.9389124,0.3051757812
1777575135.9489124,0.3051757812
1777575135.9589124,0.3051757812
1777575135.9689124,0.3051757812
1777575135.9789124,0.3051757812
1777575135.9889123,0.3051757812
1777575135.9989123,0.3051757812
1777575136.0089123,0.3051757812
1777575136.0189126,0.3051757812
1777575136.0289125,0.3051757812
1777575136.0389125,0.3051757812
1777575136.0489125,0.3051757812
1777575136.0589125,0.3051757812
1777575136.0689125,0.3051757812
1777575136.0789125,0.3051757812
1777575136.0889125,0.3051757812
1777575136.0989125,-0.2028808594
1777575136.1089125,-0.2028808594
1777575136.1189125,-0.2028808594
1777575136.1289124,-0.2028808594
1777575136.1389124,-0.2028808594
1777575136.1489124,-0.2028808594
1777575136.1589124,-0.2028808594
1777575136.1689124,-0.2028808594
1777575136.1789124,-0.2028808594
1777575136.1889124,-0.2028808594
1777575136.1989124,-0.2028808594
1777575136.2089124,-0.2028808594
1777575136.2189126,-0.2028808594
1777575136.2289126,-0.2028808594
1777575136.2389126,-0.2028808594
1777575136.2489126,-0.2028808594
1777575136.2589126,-0.2028808594
1777575136.2689126,-0.2028808594
1777575136.2789125,-0.2028808594
1777575136.2889125,-0.2028808594
1777575136.2989125,-0.0629882812
1777575136.3089125,-0.0629882812
1777575136.3189125,-0.0629882812
1777575136.3289125,-0.0629882812
1777575136.3389125,-0.0629882812
1777575136.3489125,-0.0629882812
1777575136.3589125,-0.0629882812
1777575136.3689125,-0.0629882812
1777575136.3789124,-0.0629882812
1777575136.3889124,-0.0629882812
1777575136.3989124,-0.0629882812
1777575136.4089124,-0.0629882812
1777575136.4189126,-0.0629882812
1777575136.4289126,-0.0629882812
1777575136.4389126,-0.0629882812
1777575136.4489126,-0.0629882812
1777575136.4589126,-0.0629882812
1777575136.4689126,-0.0629882812
1777575136.4789126,-0.0629882812
1777575136.4889126,-0.0629882812
1777575136.4989126,0.0734863281
1777575136.5089126,0.0734863281
1777575136.5189126,0.0734863281
1777575136.5289125,0.0734863281
1777575136.5389125,0.0734863281
1777575136.5489125,0.0734863281
1777575136.5589125,0.0734863281
1777575136.5689125,0.0734863281
1777575136.5789125,0.0734863281
1777575136.5889125,0.0734863281
1777575136.5989125,0.0734863281
1777575136.6089125,0.0734863281
1777575136.6189127,0.0734863281
1777575136.6289127,0.0734863281
1777575136.6389127,0.0734863281
1777575136.6489127,0.0734863281
1777575136.6589127,0.0734863281
1777575136.6689126,0.0734863281
1777575136.6789126,0.0734863281
1777575136.6889126,0.0734863281
1777575136.6989126,-0.0654296875
1777575136.7089126,-0.0654296875
1777575136.7189126,-0.0654296875
1777575136.7289126,-0.0654296875
1777575136.7389126,-0.0654296875
1777575136.7489126,-0.0654296875
1777575136.7589126,-0.0654296875
1777575136.7689126,-0.0654296875
1777575136.7789125,-0.0654296875
1777575136.7889125,-0.0654296875
1777575136.7989125,-0.0654296875
1777575136.8089125,-0.0654296875
1777575136.8189127,-0.0654296875
1777575136.8289127,-0.0654296875
1777575136.8389127,-0.0654296875
1777575136.8489127,-0.0654296875
1777575136.8589127,-0.0654296875
1777575136.8689127,-0.0654296875
1777575136.8789127,-0.0654296875
1777575136.8889127,-0.0654296875
1777575136.8989127,-0.076171875
1777575136.9089127,-0.076171875
1777575136.9189126,-0.076171875
1777575136.9289126,-0.076171875
1777575136.9389126,-0.076171875
1777575136.9489126,-0.076171875
1777575136.9589126,-0.076171875
1777575136.9689126,-0.076171875
1777575136.9789126,-0.076171875
1777575136.9889126,-0.076171875
1777575136.9989126,-0.076171875
1777575137.0089126,-0.076171875
1777575137.0189128,-0.076171875
1777575137.0289128,-0.076171875
1777575137.0389128,-0.076171875
1777575137.0489128,-0.076171875
1777575137.0589128,-0.076171875
1777575137.0689127,-0.076171875
1777575137.0789127,-0.076171875
1777575137.0889127,-0.076171875
1777575137.0989127,-0.0852050781
1777575137.1089127,-0.0852050781
1777575137.1189127,-0.0852050781
1777575137.1289127,-0.0852050781
1777575137.1389127,-0.0852050781
1777575137.1489127,-0.0852050781
1777575137.1589127,-0.0852050781
1777575137.1689126,-0.0852050781
1777575137.1789126,-0.0852050781
1777575137.1889126,-0.0852050781
1777575137.1989126,-0.0852050781
1777575137.2089126,-0.0852050781
1777575137.2189128,-0.0852050781
1777575137.2289128,-0.0852050781
1777575137.2389128,-0.0852050781
1777575137.2489128,-0.0852050781
1777575137.2589128,-0.0852050781
1777575137.2689128,-0.0852050781
1777575137.2789128,-0.0852050781
1777575137.2889128,-0.0852050781
1777575137.2989128,-0.1215820312
1777575137.3089128,-0.1215820312
1777575137.3189127,-0.1215820312
1777575137.3289127,-0.1215820312
1777575137.3389127,-0.1215820312
1777575137.3489127,-0.1215820312
1777575137.3589127,-0.1215820312
1777575137.3689127,-0.1215820312
1777575137.3789127,-0.1215820312
1777575137.3889127,-0.1215820312
1777575137.3989127,-0.1215820312
1777575137.4089127,-0.1215820312
1777575137.418913,-0.1215820312
1777575137.4289129,-0.1215820312
1777575137.4389129,-0.1215820312
1777575137.4489129,-0.1215820312
1777575137.4589128,-0.1215820312
1777575137.4689128,-0.1215820312
1777575137.4789128,-0.1215820312
1777575137.4889128,-0.1215820312
1777575137.4989128,-0.1669921875
1777575137.5089128,-0.1669921875
1777575137.5189128,-0.1669921875
1777575137.5289128,-0.1669921875
1777575137.5389128,-0.1669921875
1777575137.5489128,-0.1669921875
1777575137.5589128,-0.1669921875
1777575137.5689127,-0.1669921875
1777575137.5789127,-0.1669921875
1777575137.5889127,-0.1669921875
1777575137.5989127,-0.1669921875
1777575137.6089127,-0.1669921875
1777575137.618913,-0.1669921875
1777575137.628913,-0.1669921875
1777575137.638913,-0.1669921875
1777575137.648913,-0.1669921875
1777575137.658913,-0.1669921875
1777575137.668913,-0.1669921875
1777575137.6789129,-0.1669921875
1777575137.6889129,-0.1669921875
1777575137.6989129,-0.0859375
