x0000,y0000
1777576136.1691508,-0.0869140625
1777576136.1791508,-0.0869140625
1777576136.1891508,-0.0869140625
1777576136.1991508,-0.0869140625
1777576136.2091508,-0.0869140625
1777576136.219151,-0.0869140625
1777576136.229151,-0.0869140625
1777576136.239151,-0.0869140625
1777576136.249151,-0.0869140625
1777576136.259151,-0.0869140625
1777576136.269151,-0.0869140625
1777576136.279151,-0.0869140625
1777576136.289151,-0.0869140625
1777576136.299151,-0.2202148438
1777576136.309151,-0.2202148438
1777576136.319151,-0.2202148438
1777576136.329151,-0.2202148438
1777576136.339151,-0.2202148438
1777576136.349151,-0.2202148438
1777576136.359151,-0.2202148438
1777576136.3691509,-0.2202148438
1777576136.3791509,-0.2202148438
1777576136.3891509,-0.2202148438
1777576136.3991508,-0.2202148438
1777576136.4091508,-0.2202148438
1777576136.419151,-0.2202148438
1777576136.429151,-0.2202148438
1777576136.439151,-0.2202148438
1777576136.449151,-0.2202148438
1777576136.459151,-0.2202148438
1777576136.469151,-0.2202148438
1777576136.479151,-0.2202148438
1777576136.489151,-0.2202148438
1777576136.499151,-0.1115722656
1777576136.509151,-0.1115722656
1777576136.519151,-0.1115722656
1777576136.529151,-0.1115722656
1777576136.539151,-0.1115722656
1777576136.549151,-0.1115722656
1777576136.559151,-0.1115722656
1777576136.569151,-0.1115722656
1777576136.579151,-0.1115722656
1777576136.589151,-0.1115722656
1777576136.599151,-0.1115722656
1777576136.609151,-0.1115722656
1777576136.619151,-0.1115722656
1777576136.629151,-0.1115722656
1777576136.639151,-0.1115722656
1777576136.649151,-0.1115722656
1777576136.659151,-0.1115722656
1777576136.669151,-0.1115722656
1777576136.679151,-0.1115722656
1777576136.689151,-0.1115722656
1777576136.699151,0.1333007812
1777576136.709151,0.1333007812
1777576136.719151,0.1333007812
1777576136.729151,0.1333007812
1777576136.739151,0.1333007812
1777576136.749151,0.1333007812
1777576136.759151,0.1333007812
1777576136.769151,0.1333007812
1777576136.779151,0.1333007812
1777576136.789151,0.1333007812
1777576136.799151,0.1333007812
1777576136.809151,0.1333007812
1777576136.8191512,0.1333007812
1777576136.8291512,0.1333007812
1777576136.8391511,0.1333007812
1777576136.8491511,0.1333007812
1777576136.8591511,0.1333007812
1777576136.869151,0.1333007812
1777576136.879151,0.1333007812
1777576136.889151,0.1333007812
1777576136.899151,0.0197753906
1777576136.909151,0.0197753906
1777576136.919151,0.0197753906
1777576136.929151,0.0197753906
1777576136.939151,0.0197753906
1777576136.949151,0.0197753906
1777576136.959151,0.0197753906
1777576136.969151,0.0197753906
1777576136.979151,0.0197753906
1777576136.989151,0.0197753906
1777576136.999151,0.0197753906
1777576137.009151,0.0197753906
1777576137.0191512,0.0197753906
1777576137.0291512,0.0197753906
1777576137.0391512,0.0197753906
1777576137.0491512,0.0197753906
1777576137.0591512,0.0197753906
1777576137.0691512,0.0197753906
1777576137.0791512,0.0197753906
1777576137.0891511,0.0197753906
1777576137.0991511,-0.2651367188
1777576137.1091511,-0.2651367188
1777576137.119151,-0.2651367188
1777576137.129151,-0.2651367188
1777576137.139151,-0.2651367188
1777576137.149151,-0.2651367188
1777576137.159151,-0.2651367188
1777576137.169151,-0.2651367188
1777576137.179151,-0.2651367188
1777576137.189151,-0.2651367188
1777576137.199151,-0.2651367188
1777576137.209151,-0.2651367188
1777576137.2191513,-0.2651367188
1777576137.2291512,-0.2651367188
1777576137.2391512,-0.2651367188
1777576137.2491512,-0.2651367188
1777576137.2591512,-0.2651367188
1777576137.2691512,-0.2651367188
1777576137.2791512,-0.2651367188
1777576137.2891512,-0.2651367188
1777576137.2991512,-0.1645507812
1777576137.3091512,-0.1645507812
1777576137.3191512,-0.1645507812
1777576137.3291512,-0.1645507812
1777576137.3391511,-0.1645507812
1777576137.3491511,-0.1645507812
1777576137.3591511,-0.1645507812
1777576137.369151,-0.1645507812
1777576137.379151,-0.1645507812
1777576137.389151,-0.1645507812
1777576137.399151,-0.1645507812
1777576137.409151,-0.1645507812
1777576137.4191513,-0.1645507812
1777576137.4291513,-0.1645507812
1777576137.4391513,-0.1645507812
1777576137.4491513,-0.1645507812
1777576137.4591513,-0.1645507812
1777576137.4691513,-0.1645507812
1777576137.4791512,-0.1645507812
1777576137.4891512,-0.1645507812
1777576137.4991512,0.1247558594
1777576137.5091512,0.1247558594
1777576137.5191512,0.1247558594
1777576137.5291512,0.1247558594
1777576137.5391512,0.1247558594
1777576137.5491512,0.1247558594
1777576137.5591512,0.1247558594
1777576137.5691512,0.1247558594
1777576137.5791512,0.1247558594
1777576137.5891511,0.1247558594
1777576137.5991511,0.1247558594
1777576137.6091511,0.1247558594
1777576137.6191514,0.1247558594
1777576137.6291513,0.1247558594
1777576137.6391513,0.1247558594
1777576137.6491513,0.1247558594
1777576137.6591513,0.1247558594
1777576137.6691513,0.1247558594
1777576137.6791513,0.1247558594
1777576137.6891513,0.1247558594
1777576137.6991513,-0.2861328125
1777576137.7091513,-0.2861328125
1777576137.7191513,-0.2861328125
1777576137.7291512,-0.2861328125
1777576137.7391512,-0.2861328125
1777576137.7491512,-0.2861328125
1777576137.7591512,-0.2861328125
1777576137.7691512,-0.2861328125
1777576137.7791512,-0.2861328125
1777576137.7891512,-0.2861328125
1777576137.7991512,-0.2861328125
1777576137.8091512,-0.2861328125
1777576137.8191514,-0.2861328125
1777576137.8291514,-0.2861328125
1777576137.8391514,-0.2861328125
1777576137.8491514,-0.2861328125
1777576137.8591514,-0.2861328125
1777576137.8691514,-0.2861328125
1777576137.8791513,-0.2861328125
1777576137.8891513,-0.2861328125
1777576137.8991513,0.0014648438
1777576137.9091513,0.0014648438
1777576137.9191513,0.0014648438
1777576137.9291513,0.0014648438
1777576137.9391513,0.0014648438
1777576137.9491513,0.0014648438
1777576137.9591513,0.0014648438
1777576137.9691513,0.0014648438
1777576137.9791512,0.0014648438
1777576137.9891512,0.0014648438
1777576137.9991512,0.0014648438
1777576138.0091512,0.0014648438
1777576138.0191514,0.0014648438
1777576138.0291514,0.0014648438
1777576138.0391514,0.0014648438
1777576138.0491514,0.0014648438
1777576138.0591514,0.0014648438
1777576138.0691514,0.0014648438
